Name,Artist,Size,Price,Views,Favourites,Date,Subject,Medium,Material,Category,Country,CraftsAvailability
Inside out, Karenina Fabrizzi,217.488,750,268,8,3/16/16,Men,Solid,Liquid Craft Craft Craft Craft,Drawing,Spain,No
Tempting, Anyes Galleani,576,800,1443,19,9/14/11,Women,Digital,Craft acrilycs,Collage,United States,Yes
Angel 5 (edition of 45, Zena Holloway,38.28,800,17440,249,7/31/05,Fashion,Craft,Craft Craft & White Digital,Digital,United Kingdom,No
Infinity, Rafaela Senfft,1058,800,153,3,11/11/15,Beach,Solid,Liquid,Liquiding,Brazil,Yes
UNAWARE, Anita Sto,247.5,800,1155,7,9/30/12,Nude,Digital,Digital,Collage,United States,No
Silvers Of You, Charles Wilkin,88,800,703,12,12/31/13,Portrait,Craft,Craft,Collage,United States,No
in the Solids, Fotini Hamidieli,217.488,800,1637,23,7/10/12,Nude,Craft,Craft,Drawing,Greece,Yes
Two Chairs In Old Apartment, Sergey Kireev,1276,800,691,16,12/3/13,Interiors,Craft,Craft & White Digital Dye Transfer,Digital,Russia,Yes
Elimbah to Ashgrove, James Watts,214.76,800,1361,66,3/24/15,Abstract,Solid,Solid Solid Liquid,Sculpture,Australia,No
Me and My Teddy Getting All Ready, Ben Patterson,630,800,382,7,8/10/14,Animal,Craft,Craft Other,Drawing,United States,No
A Tale of Two Boys, Hormazd Narielwalla,153.92,850,622,4,9/23/15,Fashion,Craft,Craft,Collage,United Kingdom,No
Hotness, Shandor Alexander,652.464,859,577,16,8/5/15,Landscape,Liquid,Liquid,Liquiding,Ukraine,Yes
Prenez vos places, Ekaterina Kruchkova,38.28,890,210,9,5/31/11,Interiors,Craft,Craft,Digital,Netherlands,No
Footsteps, Marina Dewit,869.952,895,1033,3,11/11/12,Beach,Digital,Other,Liquiding,Netherlands,No
Holly Manahattan, Sonia Stewart,334.176,900,1089,16,2/10/09,Pop Culture/Celebrity,Digital,Other,Collage,France,No
mona lisa andina 1, Jose Gregorio Granadillo Viloria,43.848,900,912,1,5/29/13,Fantasy,Digital,Craft,Collage,Venezuela,No
Picture 14, Tomasz Kozlowski,869.952,900,1402,24,9/8/13,Car,Solid,Liquid,Liquiding,Poland,Yes
Kollage 9, Laurent Koller,31.8,900,2826,29,12/31/69,Abstract,Craft,Craft,Collage,France,No
Lioness, Czar Catstick,90,900,1339,13,6/19/15,Pop Culture/Celebrity,Digital,Digital Digital Liquid Chutzpah Turingismus,Liquiding,United Kingdom,Yes
Sad dog /Liquid Other, Vladimir Brunton,1044.3,900,300,6,10/22/14,Animal,Digital,Other,Craftmaking,Czech Republic,Yes
TENDER LOVE, Andreas manrov Vornam,1560.432,950,1410,5,5/8/13,Nude,Craft,Craft Digital Manipulated,Digital,Germany,Yes
smoke, Carla Ciuffo,172.8,950,2403,39,12/31/13,Nude,Digital,Digital Manipulated Craft,Digital,United States,No
Freedom, Keni Kennedy,1152,950,92,0,3/30/16,Beach,Liquid,Liquid,Liquiding,United Kingdom,No
Gangottri mountains (1/20), Artem Korenuk,148.68,950,180,9,10/23/14,Landscape,Craft,Craft Digital,Digital,Russia,Yes
Wrapped Up, Christoph Martin Schmid,931.416,950,206,2,6/30/13,Humor,Digital,Other,Digital,South Africa,Yes
Multifunction, Peter Benkmann,805.14,990,212,30,1/31/16,Architecture,Digital,Other Craft & White Digital,Digital,Germany,Yes
the garden_restraint, Dominique Vangilbergen,80.92,995,2748,33,6/7/13,Nature,Digital,Other Craft Conte Craft,Drawing,Germany,Yes
Still On Fire, Flora Borsi,69.62,995,792,52,3/21/16,Portrait,Digital,Digital Manipulated Craft,Digital,Hungary,Yes
Blue Nude, salvo veneziano,37.288,1000,311,10,6/30/15,Nude,Digital,Other on Solid plate certified hand emulsion unique Craft,Digital,Italy,No
Abstraction, igor vitomirov,434.976,1000,1647,45,2/15/15,Abstract,Craft,Craft Digital,Digital,Sweden,Yes
Voodoo Girls. Digital Canvas Craft. Limited edition, Jurga Luca,1440,1000,1169,12,10/22/13,Portrait,Craft,Craft Manipulated,Digital,United Kingdom,Yes
Close up Solides, Tomoe Nakamura,51.688,1000,1382,4,5/11/08,Still Life,Liquid,Liquid,Liquiding,Japan,Yes
Yellow Trunk, Larry Graeber,2250,1000,1010,5,9/8/14,Abstract,Solid,Solid Latex Liquid Craft,Sculpture,United States,Yes
Girls in time 2, Motoko Matsuda,64.015,1000,736,9,11/3/11,Time,Liquid,Liquid Liquid Craft,Drawing,Japan,Yes
The Shape of Things, Annie Terrazzo,1728,1000,1069,17,7/26/15,Fashion,Liquid,Liquid Craft Solid,Collage,United States,Yes
